t,x,y,z
0.482,2.42451,0,1.44098
0.483,2.42952,0,1.44118
0.484,2.43453,0,1.44137
0.485,2.43953,0,1.44155
0.486,2.44454,0,1.44172
0.487,2.44955,0,1.44188
0.488,2.45456,0,1.44203
0.489,2.45957,0,1.44217
0.49,2.46457,0,1.4423
0.491,2.46958,0,1.44242
0.492,2.47459,0,1.44254
0.493,2.4796,0,1.44264
0.494,2.4846,0,1.44273
0.495,2.48961,0,1.44281
0.496,2.49462,0,1.44288
0.497,2.49963,0,1.44294
0.498,2.50463,0,1.443
0.499,2.50964,0,1.44304
0.5,2.51465,0,1.44307
0.501,2.51965,0,1.44309
0.502,2.52466,0,1.44311
0.503,2.52967,0,1.44311
0.504,2.53467,0,1.4431
0.505,2.53968,0,1.44308
0.506,2.54469,0,1.44306
0.507,2.54969,0,1.44302
0.508,2.5547,0,1.44298
0.509,2.5597,0,1.44292
0.51,2.56471,0,1.44285
0.511,2.56972,0,1.44278
0.512,2.57472,0,1.44269
0.513,2.57973,0,1.4426
0.514,2.58473,0,1.44249
0.515,2.58974,0,1.44238
0.516,2.59474,0,1.44225
0.517,2.59975,0,1.44212
0.518,2.60475,0,1.44197
0.519,2.60976,0,1.44182
0.52,2.61476,0,1.44165
0.521,2.61977,0,1.44148
0.522,2.62477,0,1.44129
0.523,2.62978,0,1.4411
0.524,2.63478,0,1.4409
0.525,2.63979,0,1.44068
0.526,2.64479,0,1.44046
0.527,2.6498,0,1.44023
0.528,2.6548,0,1.43998
0.529,2.6598,0,1.43973
0.53,2.66481,0,1.43947
0.531,2.66981,0,1.4392
0.532,2.67482,0,1.43891
0.533,2.67982,0,1.43862
0.534,2.68482,0,1.43832
0.535,2.68983,0,1.43801
0.536,2.69483,0,1.43769
0.537,2.69983,0,1.43735
0.538,2.70484,0,1.43701
0.539,2.70984,0,1.43666
0.54,2.71484,0,1.4363
0.541,2.71984,0,1.43593
0.542,2.72485,0,1.43555
0.543,2.72985,0,1.43516
0.544,2.73485,0,1.43476
0.545,2.73985,0,1.43435
0.546,2.74486,0,1.43393
0.547,2.74986,0,1.4335
0.548,2.75486,0,1.43306
0.549,2.75986,0,1.43261
0.55,2.76487,0,1.43215
0.551,2.76987,0,1.43168
0.552,2.77487,0,1.4312
0.553,2.77987,0,1.43071
0.554,2.78487,0,1.43021
0.555,2.78987,0,1.42971
0.556,2.79487,0,1.42919
0.557,2.79988,0,1.42866
0.558,2.80488,0,1.42812
0.559,2.80988,0,1.42757
0.56,2.81488,0,1.42702
0.561,2.81988,0,1.42645
0.562,2.82488,0,1.42587
0.563,2.82988,0,1.42528
0.564,2.83488,0,1.42469
0.565,2.83988,0,1.42408
0.566,2.84488,0,1.42346
